predicted class,x,y
Soft tissue Menton,293.5,437.0
Cervical point,225.5,437.5
Nasion,390.0,134.0
Sella,268.5,165.0
Porion,233.0,205.5
Orbitale,377.5,193.0
Pterygoid,301.5,197.5
Basion,233.5,249.0
ANS,405.0,245.5
PNS,309.5,250.0
A point,393.0,257.5
B point,385.0,329.0
Protuberance menti,385.5,345.5
Pogonion,385.5,353.5
Menton,374.0,373.0
Go-1 Corpuus left,273.5,333.5
Go-2 Ramus down,253.0,252.5
Articulare,245.0,233.5
R3,282.0,241.5
R1,313.0,277.0
Maxilla 1 crown,405.0,301.0
Maxilla 1 root,389.5,261.0
Mandible 1 crown,397.5,297.5
Mandible 1 root,382.0,325.5
Maxilla 6 distal,337.0,289.5
Maxilla 6 root,345.0,257.5
Mandible 6 distal,337.5,293.0
Mandible 6 root,333.5,325.5
Glabella,405.0,113.5
Soft tissue naison,401.5,149.5
Dorsum of nose,437.5,209.5
pronasale,445.5,233.5
Colunella,437.0,249.0
Subnasalle,421.0,253.5
Soft tissue A point,421.0,257.0
Labrale superius,425.0,277.5
Upper lip,429.0,285.5
Stms,421.0,296.5
Upper embrasure,405.0,294.0
Lower embrasure,401.0,301.0
Stmi,417.0,297.0
Lower lip,424.5,309.0
Labial Inferius,421.0,317.0
Soft tissue b point,409.0,329.5
Soft tissue pogonion,413.0,353.5
Soft tissue Gnathion,401.0,377.5
Soft tissue Menton,377.5,385.0
Cervical point,336.5,409.5
Nasion,378.0,130.0
Sella,253.0,169.0
Porion,213.0,209.5
Orbitale,369.0,189.5
Pterygoid,293.5,197.5
Basion,213.5,249.5
ANS,409.0,241.0
PNS,305.0,253.5
A point,401.0,257.0
B point,405.5,341.5
Protuberance menti,409.0,353.0
Pogonion,409.0,365.0
Menton,397.5,381.5
Go-1 Corpuus left,277.0,345.0
Go-2 Ramus down,237.0,257.0
Articulare,232.5,233.5
R3,273.5,248.5
R1,313.0,285.0
Maxilla 1 crown,413.0,301.0
Maxilla 1 root,393.5,257.5
Mandible 1 crown,410.0,297.5
Mandible 1 root,397.5,333.5
Maxilla 6 distal,341.0,293.5
Maxilla 6 root,349.0,264.5
Mandible 6 distal,345.0,305.0
Mandible 6 root,341.5,337.5
Glabella,393.5,109.5
Soft tissue naison,393.5,145.0
Dorsum of nose,441.5,197.5
pronasale,453.0,221.5
Colunella,444.5,241.0
Subnasalle,425.0,245.5
Soft tissue A point,425.0,253.0
Labrale superius,433.0,273.5
Upper lip,437.5,281.5
Stms,429.0,297.0
Upper embrasure,417.0,294.0
Lower embrasure,413.0,301.0
Stmi,425.0,297.0
Lower lip,437.0,309.0
Labial Inferius,433.0,317.0
Soft tissue b point,429.0,333.0
Soft tissue pogonion,437.0,361.0
Soft tissue Gnathion,425.5,385.0
Soft tissue Menton,401.0,401.0
Cervical point,333.0,413.0
Nasion,357.5,189.0
Sella,217.0,173.0
Porion,165.0,209.0
Orbitale,321.5,237.0
Pterygoid,249.5,217.5
Basion,157.5,249.0
ANS,337.0,301.5
PNS,237.0,273.5
A point,325.0,309.5
B point,297.0,393.5
Protuberance menti,293.5,409.5
Pogonion,293.0,421.5
Menton,278.0,433.0
Go-1 Corpuus left,181.0,349.5
Go-2 Ramus down,177.0,257.0
Articulare,176.5,237.5
R3,213.0,253.0
R1,233.5,301.0
Maxilla 1 crown,325.0,361.0
Maxilla 1 root,317.5,313.0
Mandible 1 crown,321.0,357.5
Mandible 1 root,297.5,382.0
Maxilla 6 distal,253.5,321.5
Maxilla 6 root,273.0,297.0
Mandible 6 distal,256.5,333.0
Mandible 6 root,245.5,361.0
Glabella,378.0,173.5
Soft tissue naison,365.0,205.5
Dorsum of nose,381.0,273.5
pronasale,385.0,293.5
Colunella,373.0,309.5
Subnasalle,353.0,313.0
Soft tissue A point,349.5,317.0
Labrale superius,353.0,337.5
Upper lip,353.0,345.5
Stms,341.0,357.0
Upper embrasure,329.0,354.0
Lower embrasure,325.5,357.0
Stmi,337.0,357.0
Lower lip,341.0,369.0
Labial Inferius,337.0,381.0
Soft tissue b point,325.0,393.0
Soft tissue pogonion,321.0,417.0
Soft tissue Gnathion,305.5,437.0
Soft tissue Menton,278.0,444.5
Cervical point,213.0,425.0
Nasion,405.5,172.5
Sella,293.0,177.0
Porion,241.0,205.5
Orbitale,389.5,221.5
Pterygoid,321.5,209.5
Basion,237.5,245.5
ANS,405.0,269.5
PNS,321.0,257.5
A point,401.0,281.0
B point,385.5,349.0
Protuberance menti,385.5,361.5
Pogonion,385.5,369.5
Menton,377.0,385.5
Go-1 Corpuus left,281.5,325.5
Go-2 Ramus down,261.0,253.0
Articulare,257.0,229.5
R3,294.5,245.5
R1,321.5,285.0
Maxilla 1 crown,405.0,320.5
Maxilla 1 root,393.5,281.0
Mandible 1 crown,402.0,317.0
Mandible 1 root,381.5,345.5
Maxilla 6 distal,341.0,293.5
Maxilla 6 root,353.0,269.5
Mandible 6 distal,337.5,301.0
Mandible 6 root,333.5,329.5
Glabella,421.5,154.0
Soft tissue naison,414.0,189.0
Dorsum of nose,437.0,237.5
pronasale,441.5,257.5
Colunella,432.5,273.0
Subnasalle,421.5,277.0
Soft tissue A point,421.0,281.5
Labrale superius,425.0,297.5
Upper lip,425.0,309.5
Stms,417.0,317.0
Upper embrasure,405.5,314.0
Lower embrasure,401.5,321.0
Stmi,413.5,317.0
Lower lip,421.0,329.0
Labial Inferius,417.0,337.0
Soft tissue b point,409.0,349.5
Soft tissue pogonion,409.0,373.0
Soft tissue Gnathion,401.0,393.5
Soft tissue Menton,377.5,401.0
Cervical point,325.5,405.0
Nasion,342.0,169.5
Sella,209.5,180.5
Porion,161.5,213.5
Orbitale,317.5,225.5
Pterygoid,241.5,217.5
Basion,153.5,253.5
ANS,345.5,281.5
PNS,241.0,273.5
A point,337.0,293.0
B point,321.0,377.5
Protuberance menti,313.5,393.5
Pogonion,313.5,405.0
Menton,293.5,421.0
Go-1 Corpuus left,193.0,353.5
Go-2 Ramus down,177.0,261.0
Articulare,173.0,241.5
R3,213.0,257.0
R1,241.0,297.0
Maxilla 1 crown,349.0,344.5
Maxilla 1 root,329.5,297.0
Mandible 1 crown,341.5,341.0
Mandible 1 root,317.5,369.5
Maxilla 6 distal,269.0,317.5
Maxilla 6 root,285.5,289.5
Mandible 6 distal,272.5,328.5
Mandible 6 root,261.5,357.5
Glabella,361.0,153.0
Soft tissue naison,353.5,185.5
Dorsum of nose,381.0,245.5
pronasale,388.5,266.0
Colunella,380.5,285.0
Subnasalle,365.0,289.5
Soft tissue A point,361.0,297.0
Labrale superius,369.0,313.5
Upper lip,373.0,325.5
Stms,365.0,337.0
Upper embrasure,349.0,337.5
Lower embrasure,345.0,344.5
Stmi,361.0,337.5
Lower lip,373.0,353.0
Labial Inferius,365.5,361.0
Soft tissue b point,349.0,377.0
Soft tissue pogonion,345.0,397.0
Soft tissue Gnathion,325.5,421.0
Soft tissue Menton,297.0,433.0
Cervical point,229.5,437.0
Nasion,361.5,133.0
Sella,221.5,165.0
Porion,177.5,197.5
Orbitale,341.5,196.5
Pterygoid,261.5,197.0
Basion,173.5,249.0
ANS,373.0,253.5
PNS,265.0,257.5
A point,361.0,269.0
B point,365.5,357.5
Protuberance menti,365.5,369.0
Pogonion,369.0,381.0
Menton,361.5,397.5
Go-1 Corpuus left,229.5,361.0
Go-2 Ramus down,197.5,253.0
Articulare,193.0,229.5
R3,234.0,241.0
R1,265.5,284.5
Maxilla 1 crown,377.0,320.5
Maxilla 1 root,354.0,273.0
Mandible 1 crown,369.5,317.0
Mandible 1 root,357.0,349.5
Maxilla 6 distal,297.0,306.0
Maxilla 6 root,305.0,273.0
Mandible 6 distal,297.5,313.0
Mandible 6 root,297.5,345.5
Glabella,381.0,109.5
Soft tissue naison,373.5,145.5
Dorsum of nose,413.0,209.5
pronasale,421.0,237.5
Colunella,413.0,257.0
Subnasalle,393.5,265.0
Soft tissue A point,393.0,269.0
Labrale superius,401.0,289.5
Upper lip,405.0,301.5
Stms,393.0,317.0
Upper embrasure,381.5,314.0
Lower embrasure,373.5,321.0
Stmi,389.5,317.5
Lower lip,405.0,333.0
Labial Inferius,397.0,341.5
Soft tissue b point,389.0,353.5
Soft tissue pogonion,397.0,377.0
Soft tissue Gnathion,389.0,405.5
Soft tissue Menton,369.0,413.5
Cervical point,293.5,429.5
Nasion,373.5,157.5
Sella,257.5,185.0
Porion,217.5,221.0
Orbitale,357.5,213.5
Pterygoid,289.5,213.0
Basion,213.5,265.0
ANS,385.5,266.0
PNS,293.5,265.5
A point,373.0,277.5
B point,357.5,361.0
Protuberance menti,358.0,373.5
Pogonion,361.5,385.0
Menton,349.5,401.5
Go-1 Corpuus left,257.0,345.0
Go-2 Ramus down,237.0,269.0
Articulare,232.5,245.5
R3,269.0,257.5
R1,297.5,297.5
Maxilla 1 crown,373.5,328.5
Maxilla 1 root,365.5,281.0
Mandible 1 crown,370.0,321.5
Mandible 1 root,354.0,353.5
Maxilla 6 distal,317.0,309.5
Maxilla 6 root,329.0,277.0
Mandible 6 distal,321.0,317.0
Mandible 6 root,309.5,345.5
Glabella,389.5,137.0
Soft tissue naison,385.5,173.0
Dorsum of nose,425.0,229.5
pronasale,433.0,253.0
Colunella,421.5,269.5
Subnasalle,401.5,277.5
Soft tissue A point,397.0,281.5
Labrale superius,397.5,305.5
Upper lip,396.5,313.5
Stms,389.5,325.0
Upper embrasure,377.5,322.5
Lower embrasure,373.5,325.5
Stmi,385.0,325.0
Lower lip,389.0,337.0
Labial Inferius,385.0,345.0
Soft tissue b point,381.0,361.0
Soft tissue pogonion,381.0,385.5
Soft tissue Gnathion,373.0,405.0
Soft tissue Menton,353.5,417.0
Cervical point,297.5,429.5
Nasion,357.0,141.0
Sella,213.5,169.0
Porion,169.0,213.0
Orbitale,337.0,201.5
Pterygoid,253.5,205.5
Basion,166.0,261.0
ANS,373.0,261.5
PNS,257.0,269.0
A point,361.5,277.0
B point,357.5,381.5
Protuberance menti,357.5,397.0
Pogonion,353.5,409.0
Menton,337.5,433.5
Go-1 Corpuus left,217.5,365.5
Go-2 Ramus down,189.0,269.0
Articulare,185.0,245.5
R3,225.0,253.5
R1,261.0,297.0
Maxilla 1 crown,381.5,336.5
Maxilla 1 root,357.5,281.0
Mandible 1 crown,370.0,329.5
Mandible 1 root,354.0,373.5
Maxilla 6 distal,297.0,321.5
Maxilla 6 root,301.5,285.5
Mandible 6 distal,297.0,329.0
Mandible 6 root,297.0,361.5
Glabella,377.0,121.5
Soft tissue naison,369.5,157.5
Dorsum of nose,405.0,217.5
pronasale,417.5,245.5
Colunella,409.0,261.5
Subnasalle,389.5,269.0
Soft tissue A point,393.0,277.0
Labrale superius,397.0,301.5
Upper lip,401.0,313.5
Stms,393.0,329.0
Upper embrasure,381.0,326.5
Lower embrasure,377.0,333.0
Stmi,389.5,329.0
Lower lip,400.5,345.0
Labial Inferius,397.5,361.0
Soft tissue b point,384.5,377.5
Soft tissue pogonion,381.0,405.0
Soft tissue Gnathion,365.0,433.0
Soft tissue Menton,341.0,444.5
Nasion,393.0,141.5
Sella,261.5,168.5
Porion,221.5,201.5
Orbitale,374.0,201.0
Pterygoid,297.0,198.0
Basion,217.5,249.0
ANS,409.0,253.5
PNS,305.5,257.5
A point,401.5,265.5
B point,401.5,353.0
Protuberance menti,405.0,373.0
Pogonion,405.0,385.0
Menton,393.5,401.5
Go-1 Corpuus left,281.5,345.0
Go-2 Ramus down,241.0,256.5
Articulare,237.0,229.5
R3,277.5,249.0
R1,313.0,289.0
Maxilla 1 crown,421.5,313.0
Maxilla 1 root,394.0,269.0
Mandible 1 crown,414.0,313.0
Mandible 1 root,398.0,345.5
Maxilla 6 distal,341.0,301.5
Maxilla 6 root,349.0,265.5
Mandible 6 distal,341.5,313.0
Mandible 6 root,337.5,345.5
Glabella,412.5,121.5
Soft tissue naison,405.0,158.0
Dorsum of nose,445.5,217.5
pronasale,457.5,241.5
Colunella,449.0,257.0
Subnasalle,429.0,261.5
Soft tissue A point,429.0,269.0
Labrale superius,441.5,289.5
Upper lip,448.5,297.5
Stms,437.0,309.0
Upper embrasure,421.5,310.0
Lower embrasure,421.5,313.0
Stmi,433.0,312.5
Lower lip,445.0,325.0
Labial Inferius,441.0,333.0
Soft tissue b point,429.5,349.0
Soft tissue pogonion,433.0,381.0
Soft tissue Gnathion,421.5,405.0
Soft tissue Menton,397.5,421.0
Nasion,369.5,153.0
Sella,253.0,165.5
Porion,217.5,205.0
Orbitale,353.5,209.0
Pterygoid,285.0,198.0
Basion,213.5,245.0
ANS,376.5,254.0
PNS,289.0,249.5
A point,369.5,265.5
B point,357.5,341.5
Protuberance menti,357.5,357.5
Pogonion,357.5,365.0
Menton,345.5,381.0
Go-1 Corpuus left,253.0,313.5
Go-2 Ramus down,237.0,249.0
Articulare,229.0,225.5
R3,266.0,240.5
R1,293.0,273.0
Maxilla 1 crown,377.5,309.0
Maxilla 1 root,362.0,265.0
Mandible 1 crown,370.0,305.5
Mandible 1 root,354.0,337.5
Maxilla 6 distal,313.0,289.5
Maxilla 6 root,325.0,261.5
Mandible 6 distal,313.5,297.0
Mandible 6 root,306.0,321.5
Glabella,385.5,133.0
Soft tissue naison,381.5,169.5
Dorsum of nose,405.5,225.5
pronasale,413.0,241.0
Colunella,405.0,253.5
Subnasalle,389.0,261.0
Soft tissue A point,389.0,265.0
Labrale superius,397.5,281.5
Upper lip,400.5,293.5
Stms,389.0,305.5
Upper embrasure,377.5,302.0
Lower embrasure,373.5,308.5
Stmi,385.0,305.5
Lower lip,393.0,321.0
Labial Inferius,393.0,329.0
Soft tissue b point,381.5,341.0
Soft tissue pogonion,380.5,361.0
Soft tissue Gnathion,365.0,385.0
Soft tissue Menton,345.5,392.5
Cervical point,286.0,381.5
Nasion,341.0,193.0
Sella,209.5,192.5
Porion,165.0,217.0
Orbitale,312.5,241.0
Pterygoid,241.5,225.5
Basion,157.5,253.5
ANS,333.0,289.5
PNS,241.0,269.5
A point,321.5,298.0
B point,289.0,369.5
Protuberance menti,285.0,381.5
Pogonion,285.0,385.5
Menton,269.5,397.5
Go-1 Corpuus left,189.0,325.5
Go-2 Ramus down,177.5,257.0
Articulare,177.0,241.0
R3,212.5,252.5
R1,237.0,289.5
Maxilla 1 crown,321.0,345.0
Maxilla 1 root,317.5,301.0
Mandible 1 crown,313.5,337.5
Mandible 1 root,289.0,361.5
Maxilla 6 distal,253.0,305.5
Maxilla 6 root,269.5,281.5
Mandible 6 distal,253.0,313.0
Mandible 6 root,241.5,337.5
Glabella,357.0,181.0
Soft tissue naison,345.0,209.0
Dorsum of nose,365.5,261.5
pronasale,372.5,281.5
Colunella,360.5,293.5
Subnasalle,345.0,297.5
Soft tissue A point,345.0,301.0
Labrale superius,349.0,321.5
Upper lip,349.0,329.5
Stms,337.0,340.5
Upper embrasure,325.5,338.0
Lower embrasure,317.5,341.0
Stmi,333.0,341.0
Lower lip,337.0,353.0
Labial Inferius,329.5,361.0
Soft tissue b point,313.0,373.0
Soft tissue pogonion,309.0,389.0
Soft tissue Gnathion,293.5,401.5
Soft tissue Menton,269.5,409.0
Cervical point,205.5,405.0
Nasion,372.5,141.5
Sella,261.5,181.0
Porion,225.5,217.5
Orbitale,361.0,197.0
Pterygoid,297.5,201.5
Basion,225.0,257.0
ANS,393.5,238.0
PNS,309.0,250.0
A point,385.5,249.5
B point,386.0,329.0
Protuberance menti,389.5,345.0
Pogonion,389.5,353.0
Menton,377.5,369.5
Go-1 Corpuus left,281.0,325.5
Go-2 Ramus down,253.0,257.0
Articulare,244.5,237.5
R3,282.5,249.0
R1,313.0,273.0
Maxilla 1 crown,401.5,293.0
Maxilla 1 root,381.5,256.5
Mandible 1 crown,398.0,289.5
Mandible 1 root,382.0,325.5
Maxilla 6 distal,337.0,285.5
Maxilla 6 root,341.0,253.5
Mandible 6 distal,336.5,292.5
Mandible 6 root,333.5,321.5
Glabella,385.0,121.5
Soft tissue naison,381.5,157.0
Dorsum of nose,418.0,205.5
pronasale,426.0,225.5
Colunella,421.0,238.0
Subnasalle,409.5,245.5
Soft tissue A point,409.0,249.0
Labrale superius,417.0,269.5
Upper lip,420.5,277.5
Stms,417.5,289.0
Upper embrasure,405.5,290.0
Lower embrasure,401.5,293.0
Stmi,413.0,289.5
Lower lip,420.5,301.0
Labial Inferius,417.0,313.0
Soft tissue b point,409.0,325.0
Soft tissue pogonion,405.0,353.0
Soft tissue Gnathion,397.0,369.0
Soft tissue Menton,377.5,381.0
Cervical point,325.0,393.0
Nasion,344.5,145.5
Sella,213.5,173.0
Porion,169.5,209.5
Orbitale,321.5,202.0
Pterygoid,249.5,201.0
Basion,165.5,249.5
ANS,357.0,253.0
PNS,253.5,253.0
A point,345.5,265.0
B point,333.0,345.0
Protuberance menti,333.5,361.0
Pogonion,333.0,373.5
Menton,321.5,389.0
Go-1 Corpuus left,213.0,333.5
Go-2 Ramus down,193.0,253.0
Articulare,188.5,233.5
R3,225.0,240.5
R1,253.0,277.0
Maxilla 1 crown,353.0,312.5
Maxilla 1 root,338.0,268.5
Mandible 1 crown,345.5,309.0
Mandible 1 root,330.0,341.0
Maxilla 6 distal,281.0,293.5
Maxilla 6 root,293.5,265.0
Mandible 6 distal,285.0,301.0
Mandible 6 root,273.5,329.5
Glabella,358.0,125.5
Soft tissue naison,354.0,161.5
Dorsum of nose,388.5,213.5
pronasale,397.5,237.5
Colunella,389.0,253.5
Subnasalle,373.5,261.0
Soft tissue A point,373.0,265.0
Labrale superius,381.0,285.5
Upper lip,384.5,293.5
Stms,369.0,305.5
Upper embrasure,353.5,306.5
Lower embrasure,349.5,313.0
Stmi,365.0,309.0
Lower lip,373.0,321.0
Labial Inferius,369.5,329.0
Soft tissue b point,357.0,341.0
Soft tissue pogonion,357.5,365.0
Soft tissue Gnathion,345.0,389.5
Soft tissue Menton,321.5,401.0
Cervical point,245.0,401.0
Nasion,401.0,169.5
Sella,265.0,173.0
Porion,217.0,205.5
Orbitale,373.0,221.0
Pterygoid,293.5,209.5
Basion,209.5,249.0
ANS,397.5,273.5
PNS,293.0,261.5
A point,385.0,285.0
B point,365.0,349.5
Protuberance menti,365.5,365.0
Pogonion,365.5,373.0
Menton,354.0,389.5
Go-1 Corpuus left,257.0,334.0
Go-2 Ramus down,237.0,257.0
Articulare,229.0,233.5
R3,269.0,253.0
R1,293.5,289.5
Maxilla 1 crown,389.0,324.5
Maxilla 1 root,377.5,285.0
Mandible 1 crown,381.5,317.5
Mandible 1 root,362.0,345.5
Maxilla 6 distal,317.5,301.5
Maxilla 6 root,333.0,277.5
Mandible 6 distal,321.0,309.0
Mandible 6 root,313.0,337.5
Glabella,421.0,153.0
Soft tissue naison,409.0,189.0
Dorsum of nose,434.0,245.5
pronasale,440.5,261.5
Colunella,429.0,277.5
Subnasalle,413.5,281.5
Soft tissue A point,409.0,289.0
Labrale superius,413.0,305.5
Upper lip,413.0,313.5
Stms,405.0,321.0
Upper embrasure,393.0,318.5
Lower embrasure,385.5,321.0
Stmi,401.0,321.0
Lower lip,405.0,333.0
Labial Inferius,401.0,341.5
Soft tissue b point,389.0,353.0
Soft tissue pogonion,393.0,373.5
Soft tissue Gnathion,381.0,397.0
Soft tissue Menton,357.5,405.0
Cervical point,313.0,433.5
Nasion,329.0,145.0
Sella,201.0,165.0
Porion,161.5,209.0
Orbitale,314.0,205.0
Pterygoid,241.0,201.0
Basion,161.5,253.0
ANS,341.5,257.5
PNS,245.0,257.5
A point,333.5,273.0
B point,325.0,353.5
Protuberance menti,329.0,369.5
Pogonion,329.0,377.5
Menton,317.5,393.5
Go-1 Corpuus left,209.0,345.5
Go-2 Ramus down,185.0,260.5
Articulare,180.5,237.5
R3,218.0,249.5
R1,245.5,285.0
Maxilla 1 crown,341.5,321.0
Maxilla 1 root,326.0,277.5
Mandible 1 crown,334.0,317.5
Mandible 1 root,321.5,349.5
Maxilla 6 distal,273.5,301.5
Maxilla 6 root,281.5,269.5
Mandible 6 distal,273.0,309.0
Mandible 6 root,273.0,341.0
Glabella,345.0,125.0
Soft tissue naison,337.5,161.5
Dorsum of nose,372.5,217.5
pronasale,385.0,245.5
Colunella,376.5,261.0
Subnasalle,357.0,269.0
Soft tissue A point,357.5,273.0
Labrale superius,361.0,293.5
Upper lip,364.5,305.5
Stms,353.5,317.0
Upper embrasure,341.0,314.0
Lower embrasure,337.5,317.0
Stmi,349.5,317.0
Lower lip,357.0,329.0
Labial Inferius,353.0,337.0
Soft tissue b point,349.0,353.5
Soft tissue pogonion,352.5,373.0
Soft tissue Gnathion,341.5,397.0
Soft tissue Menton,321.5,409.0
Cervical point,269.0,421.0
Nasion,374.0,125.5
Sella,249.5,165.5
Porion,209.0,209.5
Orbitale,369.0,185.0
Pterygoid,289.5,193.0
Basion,213.5,249.5
ANS,401.5,226.0
PNS,305.5,242.0
A point,393.5,241.0
B point,405.5,321.5
Protuberance menti,409.0,333.0
Pogonion,409.0,345.0
Menton,397.5,361.5
Go-1 Corpuus left,281.5,325.5
Go-2 Ramus down,237.0,249.5
Articulare,229.0,229.5
R3,269.0,240.5
R1,313.0,273.5
Maxilla 1 crown,417.0,281.0
Maxilla 1 root,389.5,245.0
Mandible 1 crown,409.5,281.0
Mandible 1 root,401.0,314.0
Maxilla 6 distal,345.0,277.5
Maxilla 6 root,349.0,249.0
Mandible 6 distal,345.0,288.5
Mandible 6 root,341.0,317.0
Glabella,389.5,105.5
Soft tissue naison,389.0,141.0
Dorsum of nose,422.0,189.5
pronasale,433.0,205.5
Colunella,429.0,221.5
Subnasalle,417.5,229.0
Soft tissue A point,417.5,237.0
Labrale superius,429.5,257.5
Upper lip,436.5,265.0
Stms,433.0,277.0
Upper embrasure,417.0,278.0
Lower embrasure,413.5,281.5
Stmi,429.0,277.5
Lower lip,441.0,289.0
Labial Inferius,441.0,297.0
Soft tissue b point,433.0,313.0
Soft tissue pogonion,433.0,341.0
Soft tissue Gnathion,421.5,365.0
Soft tissue Menton,401.0,377.0
Cervical point,333.5,401.0
Nasion,361.0,160.5
Sella,217.5,177.0
Porion,173.5,213.0
Orbitale,333.5,213.5
Pterygoid,257.5,209.0
Basion,173.5,257.5
ANS,365.5,273.5
PNS,257.5,265.0
A point,353.5,285.5
B point,333.0,357.5
Protuberance menti,333.5,373.5
Pogonion,333.0,381.0
Menton,321.5,397.5
Go-1 Corpuus left,217.5,341.0
Go-2 Ramus down,193.5,265.0
Articulare,189.0,241.5
R3,229.0,250.0
R1,257.5,289.0
Maxilla 1 crown,353.0,333.0
Maxilla 1 root,346.0,289.0
Mandible 1 crown,349.5,329.5
Mandible 1 root,329.5,353.5
Maxilla 6 distal,285.0,305.5
Maxilla 6 root,297.5,281.0
Mandible 6 distal,285.0,313.0
Mandible 6 root,277.5,341.5
Glabella,381.5,141.5
Soft tissue naison,373.0,177.5
Dorsum of nose,401.0,237.0
pronasale,409.5,261.5
Colunella,401.0,277.0
Subnasalle,381.0,281.5
Soft tissue A point,381.0,289.0
Labrale superius,385.5,309.5
Upper lip,389.0,317.5
Stms,373.0,330.0
Upper embrasure,357.0,329.5
Lower embrasure,353.0,333.0
Stmi,369.0,333.0
Lower lip,373.0,345.0
Labial Inferius,369.0,349.0
Soft tissue b point,357.0,361.5
Soft tissue pogonion,357.0,381.5
Soft tissue Gnathion,345.0,401.5
Soft tissue Menton,325.5,412.5
Cervical point,261.5,425.0
Nasion,381.5,173.0
Sella,258.0,181.0
Porion,217.5,213.0
Orbitale,361.5,225.0
Pterygoid,289.5,210.0
Basion,209.5,253.0
ANS,381.5,277.5
PNS,289.0,261.0
A point,365.5,289.0
B point,349.0,361.5
Protuberance menti,349.5,373.0
Pogonion,349.0,381.0
Menton,338.0,397.5
Go-1 Corpuus left,245.0,329.5
Go-2 Ramus down,233.0,257.0
Articulare,229.0,237.5
R3,265.0,249.5
R1,289.5,285.5
Maxilla 1 crown,365.0,329.0
Maxilla 1 root,357.5,289.0
Mandible 1 crown,361.5,325.0
Mandible 1 root,345.5,353.5
Maxilla 6 distal,305.0,301.5
Maxilla 6 root,321.0,273.5
Mandible 6 distal,305.0,309.0
Mandible 6 root,293.5,337.0
Glabella,397.5,153.5
Soft tissue naison,389.5,189.0
Dorsum of nose,417.5,249.5
pronasale,421.0,269.0
Colunella,413.0,281.0
Subnasalle,397.0,285.5
Soft tissue A point,393.5,292.5
Labrale superius,393.0,305.0
Upper lip,397.0,317.5
Stms,381.5,329.0
Upper embrasure,369.5,325.5
Lower embrasure,365.0,329.0
Stmi,377.0,329.0
Lower lip,385.0,341.0
Labial Inferius,381.5,349.0
Soft tissue b point,373.0,361.0
Soft tissue pogonion,368.5,385.0
Soft tissue Gnathion,361.5,405.0
Soft tissue Menton,341.5,413.0
Cervical point,281.0,417.5
Nasion,360.5,153.5
Sella,253.0,181.5
Porion,217.0,221.0
Orbitale,349.5,205.0
Pterygoid,285.5,209.0
Basion,217.5,253.0
ANS,373.0,238.0
PNS,293.5,249.5
A point,365.5,249.0
B point,373.5,313.5
Protuberance menti,373.5,325.5
Pogonion,377.0,333.0
Menton,365.5,345.5
Go-1 Corpuus left,273.5,313.5
Go-2 Ramus down,244.5,253.0
Articulare,237.0,237.5
R3,269.5,245.0
R1,297.0,269.0
Maxilla 1 crown,377.5,281.0
Maxilla 1 root,357.5,253.0
Mandible 1 crown,373.5,281.0
Mandible 1 root,366.0,313.0
Maxilla 6 distal,313.5,277.0
Maxilla 6 root,317.0,249.0
Mandible 6 distal,313.0,285.0
Mandible 6 root,309.0,313.0
Glabella,373.0,137.5
Soft tissue naison,369.5,169.5
Dorsum of nose,398.0,209.5
pronasale,408.5,225.5
Colunella,400.5,237.5
Subnasalle,385.5,245.0
Soft tissue A point,385.0,249.0
Labrale superius,393.0,261.5
Upper lip,397.0,265.0
Stms,393.5,277.5
Upper embrasure,381.5,277.5
Lower embrasure,377.5,281.0
Stmi,389.5,277.5
Lower lip,397.0,289.0
Labial Inferius,396.5,293.5
Soft tissue b point,393.0,309.0
Soft tissue pogonion,393.0,329.5
Soft tissue Gnathion,385.0,349.0
Soft tissue Menton,364.5,357.0
Cervical point,320.5,369.0
Nasion,325.5,166.0
Sella,197.5,169.0
Porion,157.0,213.5
Orbitale,298.0,221.0
Pterygoid,229.5,210.0
Basion,153.5,249.5
ANS,321.0,277.0
PNS,225.5,261.5
A point,313.0,289.0
B point,289.0,365.5
Protuberance menti,285.5,381.5
Pogonion,285.5,393.5
Menton,270.0,405.5
Go-1 Corpuus left,181.0,333.5
Go-2 Ramus down,173.0,257.0
Articulare,169.0,237.5
R3,205.0,246.0
R1,225.5,285.0
Maxilla 1 crown,317.5,332.5
Maxilla 1 root,306.0,289.0
Mandible 1 crown,310.0,329.5
Mandible 1 root,286.0,357.5
Maxilla 6 distal,244.5,301.5
Maxilla 6 root,257.0,277.5
Mandible 6 distal,241.0,309.0
Mandible 6 root,230.0,337.5
Glabella,341.0,149.5
Soft tissue naison,333.5,181.5
Dorsum of nose,361.5,245.5
pronasale,369.0,265.5
Colunella,356.5,281.5
Subnasalle,341.0,285.5
Soft tissue A point,337.0,289.0
Labrale superius,341.0,309.5
Upper lip,344.5,317.5
Stms,333.5,329.0
Upper embrasure,321.0,326.0
Lower embrasure,317.5,332.5
Stmi,329.0,329.0
Lower lip,337.0,345.0
Labial Inferius,329.0,353.0
Soft tissue b point,313.5,369.0
Soft tissue pogonion,309.0,389.5
Soft tissue Gnathion,297.5,413.0
Soft tissue Menton,273.5,417.0
Cervical point,209.5,413.0
Nasion,317.0,181.0
Sella,189.5,184.5
Porion,149.0,217.0
Orbitale,293.0,233.5
Pterygoid,221.5,220.5
Basion,137.0,257.0
ANS,313.0,282.0
PNS,221.5,269.0
A point,301.5,293.5
B point,277.5,373.0
